t_us,x_raw,y_raw,z_raw
1301165120,265,25,-37
1301166370,267,31,-31
1301167620,266,29,-34
1301168870,265,29,-36
1301170120,268,28,-37
1301171370,263,27,-33
1301172620,260,28,-37
1301173870,268,27,-37
1301175120,266,26,-35
1301176370,262,33,-38
1301178922,266,27,-32
1301180172,266,29,-34
1301181422,270,30,-35
1301182672,269,28,-35
1301183922,267,31,-32
1301185172,267,31,-35
1301186422,265,29,-36
1301187672,264,27,-36
1301188922,269,26,-34
1301190172,267,26,-29
1301191422,264,30,-35
1301192672,264,32,-29
1301193922,265,26,-33
1301195172,266,31,-35
1301196422,265,30,-32
1301197672,263,26,-36
1301198922,263,27,-35
1301200172,268,28,-32
1301201422,264,26,-35
1301202672,264,25,-38
1301203922,265,31,-33
1301205172,263,28,-31
1301206422,264,26,-35
1301207672,268,27,-35
1301208922,267,28,-35
1301211331,266,30,-32
1301212581,269,28,-36
1301213831,265,29,-29
1301215081,268,32,-36
1301216331,269,34,-33
1301217581,267,35,-33
1301218831,265,30,-33
1301220081,267,27,-34
1301221331,266,25,-37
1301222581,265,30,-37
1301223831,263,28,-38
1301225081,264,24,-35
1301226331,263,30,-37
1301227581,266,29,-35
1301228831,265,28,-31
1301230081,264,28,-35
1301231331,264,27,-34
1301232581,268,27,-36
1301233831,267,27,-34
1301235081,263,27,-32
1301236331,267,25,-37
1301237581,262,29,-34
1301238831,267,27,-33
1301240081,265,31,-37
1301241331,267,32,-35
1301243952,266,27,-32
1301245202,266,31,-33
1301246452,269,31,-28
1301247702,266,31,-26
1301248952,269,28,-29
1301250202,266,31,-30
1301251452,267,28,-34
1301252702,266,27,-34
1301253952,264,32,-38
1301255202,267,30,-34
1301256452,269,27,-36
1301257702,270,29,-39
1301258952,265,29,-31
1301260202,267,29,-36
1301261452,263,24,-33
1301262702,267,30,-37
1301263952,265,31,-39
1301265202,266,28,-35
1301266452,264,30,-31
1301267702,266,28,-35
1301268952,269,28,-35
1301270202,264,30,-35
1301271452,264,32,-38
1301272702,266,33,-34
1301273952,266,26,-34
1301276370,263,30,-39
1301277620,269,28,-33
1301278870,265,33,-32
1301280120,266,33,-31
1301281370,268,30,-33
1301282620,269,32,-37
1301283870,265,27,-37
1301285120,264,28,-37
1301286370,266,26,-37
1301287620,267,25,-36
1301288870,267,29,-35
1301290120,270,27,-39
1301291370,264,29,-34
1301292620,263,29,-34
1301293870,266,27,-34
1301295120,264,25,-33
